news_date	news_time	news_source	news_category	news_corp_select	news_poli_select	news_titles	news_urls		
16/06/2026	14:14	TinNhanhCK	Tài Chính-Ngân Hàng			Công ty tài chính lại “ăn nên, làm ra”	https://www.tinnhanhchungkhoan.vn/cong-ty-tai-chinh-lai-an-nen-lam-ra-post392180.html		
16/06/2026	14:13	Vneconomy	Doanh Nghiệp			EU siết điều kiện tạm hoãn cơ chế áp thuế carbon đối với hàng nhập khẩu	https://vneconomy.vn/eu-siet-dieu-kien-tam-hoan-co-che-ap-thue-carbon-doi-voi-hang-nhap-khau.htm		
16/06/2026	14:13	Vietstock	Chứng Khoán			Môi trường Đô thị Hà Đông có cổ đông lớn mới	http://vietstock.vn/2026/06/moi-truong-do-thi-ha-dong-co-co-dong-lon-moi-739-1454717.htm		
16/06/2026	14:13	Nhandan	Khác			Đà Nẵng bắt đầu xây dựng nhà mới cho gia đình chính sách bị nhiễm chất độc hóa học	https://nhandan.vn/da-nang-bat-dau-xay-dung-nha-moi-cho-gia-dinh-chinh-sach-bi-nhiem-chat-doc-hoa-hoc-post969448.html		
16/06/2026	14:12	Nhandan	Khác			Đồng Nai tháo dỡ công trình xây trái phép trên "đất vàng”	https://nhandan.vn/dong-nai-thao-do-cong-trinh-xay-trai-phep-tren-dat-vang-post969438.html		
16/06/2026	14:11	FireAnt	Khác			Ngành phân bón Việt Nam đứng trước sức ép chuyển đổi xanh	https://fireant.vn/bai-viet/nganh-phan-bon-viet-nam-dung-truoc-suc-ep-chuyen-doi-xanh/40476846		
16/06/2026	14:08	Nhandan	Khác			Chiến dịch 500 ngày đêm và mệnh lệnh từ trái tim	https://nhandan.vn/chien-dich-500-ngay-dem-va-menh-lenh-tu-trai-tim-post969364.html		
16/06/2026	14:07	Baochinhphu	Khác			Gần 300 tư vấn viên sức khỏe Nutrilite được đào tạo bởi Viện Dinh dưỡng Quốc gia	https://baochinhphu.vn/gan-300-tu-van-vien-suc-khoe-nutrilite-duoc-dao-tao-boi-vien-dinh-duong-quoc-gia-102260616133132875.htm		
16/06/2026	14:06	BaoDautu	Tài Chính-Ngân Hàng		TAKE	Hội đồng vàng thế giới: 89% nhà quản lý dự báo các ngân hàng trung ương tiếp tục mạnh tay gom vàng	https://baodautu.vn/hoi-dong-vang-the-gioi-89-nha-quan-ly-du-bao-cac-ngan-hang-trung-uong-tiep-tuc-manh-tay-gom-vang-d621538.html		https://baodautu.vn/hoi-dong-vang-the-gioi-89-nha-quan-ly-du-bao-cac-ngan-hang-trung-uong-tiep-tuc-manh-tay-gom-vang-d621538.html
16/06/2026	14:04	Nhandan	Khác			[Video] Sân bay Liên Khương sẽ mở cửa lại sớm hơn dự kiến 1 tuần	https://nhandan.vn/video-san-bay-lien-khuong-se-mo-cua-lai-som-hon-du-kien-1-tuan-post969449.html		
16/06/2026	14:04	Nhandan	Thế Giới			[Video] Từ 1/7, nhiều thủ tục cấp phép đào tạo lái xe giải quyết trong 1-5 ngày	https://nhandan.vn/video-tu-17-nhieu-thu-tuc-cap-phep-dao-tao-lai-xe-giai-quyet-trong-1-5-ngay-post969453.html		
16/06/2026	14:04	TinNhanhCK	Chứng Khoán			Việt Nam phát huy vai trò cầu nối thúc đẩy hợp tác ASEAN - Nga	https://www.tinnhanhchungkhoan.vn/viet-nam-phat-huy-vai-tro-cau-noi-thuc-day-hop-tac-asean-nga-post392479.html		
16/06/2026	14:03	TinNhanhCK	Tài Chính-Ngân Hàng			Các ngân hàng trung ương tiếp tục là bệ đỡ của thị trường vàng	https://www.tinnhanhchungkhoan.vn/cac-ngan-hang-trung-uong-tiep-tuc-la-be-do-cua-thi-truong-vang-post392478.html		
16/06/2026	14:03	FireAnt	Thế Giới	TAKE		Lãi suất Techcombank, gửi 300 triệu đồng online bỏ túi thêm 36 triệu đồng	https://fireant.vn/bai-viet/lai-suat-techcombank-gui-300-trieu-dong-online-bo-tui-them-36-trieu-dong/40476397	https://fireant.vn/bai-viet/lai-suat-techcombank-gui-300-trieu-dong-online-bo-tui-them-36-trieu-dong/40476397	
16/06/2026	14:01	Vietnambusinessinsider	Thế Giới			“Đất vàng” 101 Nguyễn Du sắp khép lại hành trình 30 năm: Dự án liên doanh bị yêu cầu chấm dứt hoạt động	https://vietnambusinessinsider.vn/dat-vang-101-nguyen-du-sap-khep-lai-hanh-trinh-30-nam-du-an-lien-doanh-bi-yeu-cau-cham-dut-hoat-dong-a53920.html		
16/06/2026	14:01	Vietnambusinessinsider	Khác			Bài học từ những đơn hàng nhỏ nhưng có thể làm mất uy tín lớn	https://vietnambusinessinsider.vn/bai-hoc-tu-nhung-don-hang-nho-nhung-co-the-lam-mat-uy-tin-lon-a53919.html		
16/06/2026	14:01	Vietnambusinessinsider	Khác			Nhóm nhà đầu tư tổ chức đang giảm tỉ trọng đối với thị trường hàng hóa	https://vietnambusinessinsider.vn/nhom-nha-dau-tu-to-chuc-dang-giam-ti-trong-doi-voi-thi-truong-hang-hoa-a53918.html		
16/06/2026	14:01	Vietnambusinessinsider	Thế Giới		TAKE	Kevin Warsh nhận ghế Fed: Tăng lãi suất hay không?	https://vietnambusinessinsider.vn/kevin-warsh-nhan-ghe-fed-tang-lai-suat-hay-khong-a53921.html		https://vietnambusinessinsider.vn/kevin-warsh-nhan-ghe-fed-tang-lai-suat-hay-khong-a53921.html
16/06/2026	14:01	TinNhanhCK	Chứng Khoán			Standard Chartered dự báo giá trị tài sản trên DeFi có thể đạt 2.700 tỷ USD vào năm 2030	https://www.tinnhanhchungkhoan.vn/standard-chartered-du-bao-gia-tri-tai-san-tren-defi-co-the-dat-2700-ty-usd-vao-nam-2030-post392475.html		
16/06/2026	14:00	Vietnambusinessinsider	Chứng Khoán		TAKE	Chứng khoán Xuân Thiện liên tiếp thay lãnh đạo: Vừa đổi Chủ tịch, nay có tân Tổng Giám đốc	https://vietnambusinessinsider.vn/chung-khoan-xuan-thien-lien-tiep-thay-lanh-dao-vua-doi-chu-tich-nay-co-tan-tong-giam-doc-a53922.html		https://vietnambusinessinsider.vn/chung-khoan-xuan-thien-lien-tiep-thay-lanh-dao-vua-doi-chu-tich-nay-co-tan-tong-giam-doc-a53922.html
16/06/2026	14:00	TinNhanhCK	Tài Chính-Ngân Hàng			Tiếp tục ưu tiên, tập trung nguồn lực xây dựng và hoàn thiện thể chế về tài chính	https://www.tinnhanhchungkhoan.vn/tiep-tuc-uu-tien-tap-trung-nguon-luc-xay-dung-va-hoan-thien-the-che-ve-tai-chinh-post392477.html		
16/06/2026	14:00	BaoDautu	Kinh Tế			Chuyên gia FDI và xu hướng chọn nhà tại nút giao hạ tầng chiến lược	https://baodautu.vn/chuyen-gia-fdi-va-xu-huong-chon-nha-tai-nut-giao-ha-tang-chien-luoc-d620581.html		
16/06/2026	14:00	FireAnt	Khác			Tài sản 5 tỉ phú Thái Lan tăng mạnh, người giàu nhất sở hữu 18,1 tỉ USD	https://fireant.vn/bai-viet/tai-san-5-ti-phu-thai-lan-tang-manh-nguoi-giau-nhat-so-huu-181-ti-usd/40475653		
16/06/2026	14:00	FireAnt	Thế Giới	TAKE		Lãi suất HDBank mới nhất: Gửi 200 triệu đồng, lãi suất cao nhất bao nhiêu?	https://fireant.vn/bai-viet/lai-suat-hdbank-moi-nhat-gui-200-trieu-dong-lai-suat-cao-nhat-bao-nhieu/40475482	https://fireant.vn/bai-viet/lai-suat-hdbank-moi-nhat-gui-200-trieu-dong-lai-suat-cao-nhat-bao-nhieu/40475482	
16/06/2026	14:00	FireAnt	Thế Giới			Cuộc họp chính sách sắp diễn ra, tân Chủ tịch Fed đưa ra thông báo 'lạ'	https://fireant.vn/bai-viet/cuoc-hop-chinh-sach-sap-dien-ra-tan-chu-tich-fed-dua-ra-thong-bao-la/40475035		
16/06/2026	14:00	FireAnt	Thế Giới			Pháo đài bay ‘gãy cánh’, phi cơ 100 triệu USD nát vụn, 8 người trên khoang không còn cơ hội sống sót	https://fireant.vn/bai-viet/phao-dai-bay-gay-canh-phi-co-100-trieu-usd-nat-vun-8-nguoi-tren-khoang-khong-con-co-hoi-song-sot/40474921		
16/06/2026	14:00	FireAnt	Khác		TAKE	Việc eo biển Hormuz mở cửa trở lại có thể là nguyên nhân dẫn đến sự sụp đổ của OPEC	https://fireant.vn/bai-viet/viec-eo-bien-hormuz-mo-cua-tro-lai-co-the-la-nguyen-nhan-dan-den-su-sup-do-cua-opec/40474831		https://fireant.vn/bai-viet/viec-eo-bien-hormuz-mo-cua-tro-lai-co-the-la-nguyen-nhan-dan-den-su-sup-do-cua-opec/40474831
16/06/2026	14:00	FireAnt	Khác			Thời tàn của thủ phủ ô tô Mỹ Detroit: Núp mình sau rào chắn thuế quan, đau đáu sợ bị xe điện Trung Quốc nuốt chửng?	https://fireant.vn/bai-viet/thoi-tan-cua-thu-phu-o-to-my-detroit-nup-minh-sau-rao-chan-thue-quan-dau-dau-so-bi-xe-dien-trung-quoc-nuot-chung/40474319		
16/06/2026	13:59	BaoDautu	Khác			Hơn 5.000 lượt du khách đổ về phố đi bộ Heragon City trong đêm khai mạc	https://baodautu.vn/hon-5000-luot-du-khach-do-ve-pho-di-bo-heragon-city-trong-dem-khai-mac-d621550.html		
16/06/2026	13:51	Vietstock	Bất Động Sản			Thành phố Hồ Chí Minh gỡ vướng pháp lý, cấp sổ hồng cho người mua nhà	http://vietstock.vn/2026/06/thanh-pho-ho-chi-minh-go-vuong-phap-ly-cap-so-hong-cho-nguoi-mua-nha-4266-1454738.htm		
16/06/2026	13:50	Nhandan	Khác			Chuyển đổi xanh mở lối cho nông nghiệp Sơn La phát triển bền vững	https://nhandan.vn/chuyen-doi-xanh-mo-loi-cho-nong-nghiep-son-la-phat-trien-ben-vung-post969412.html		
16/06/2026	13:48	Nhandan	Khác			[Ảnh] Hội nghị triển khai thực hiện định hướng lập pháp nhiệm kỳ Quốc hội khóa XVI	https://nhandan.vn/anh-hoi-nghi-trien-khai-thuc-hien-dinh-huong-lap-phap-nhiem-ky-quoc-hoi-khoa-xvi-post969442.html		
16/06/2026	13:47	Baochinhphu	Khác		TAKE	Củng cố hợp tác pháp luật, tư pháp giữa Việt Nam và Lào	https://baochinhphu.vn/cung-co-hop-tac-phap-luat-tu-phap-giua-viet-nam-va-lao-102260616125711096.htm		https://baochinhphu.vn/cung-co-hop-tac-phap-luat-tu-phap-giua-viet-nam-va-lao-102260616125711096.htm
16/06/2026	13:47	Vneconomy	Bất Động Sản		TAKE	Cơ chế mới thúc đẩy vật liệu xây dựng tái chế, vật liệu xanh	https://vneconomy.vn/co-che-moi-thuc-day-vat-lieu-xay-dung-tai-che-vat-lieu-xanh.htm		https://vneconomy.vn/co-che-moi-thuc-day-vat-lieu-xay-dung-tai-che-vat-lieu-xanh.htm
16/06/2026	13:47	Vneconomy	Bất Động Sản			Khủng hoảng chi phí đẩy nhiều dự án đô thị của Nhật Bản vào thế bế tắc	https://vneconomy.vn/khung-hoang-chi-phi-day-nhieu-du-an-do-thi-cua-nhat-ban-vao-the-be-tac.htm		
16/06/2026	13:44	Vneconomy	Doanh Nghiệp			LocknLock Brand Day 2026: Giảm giá tới 50% tại Bắc Ninh	https://vneconomy.vn/locknlock-brand-day-2026-giam-gia-toi-50-tai-bac-ninh.htm		
16/06/2026	13:44	Nhandan	Khác			[Ảnh] Tổng Bí thư, Chủ tịch nước Tô Lâm tiếp Phó Thủ tướng, Bộ trưởng Tư pháp Lào Khamphan Phommathat	https://nhandan.vn/anh-tong-bi-thu-chu-tich-nuoc-to-lam-tiep-pho-thu-tuong-bo-truong-tu-phap-lao-khamphan-phommathat-post969432.html		
16/06/2026	13:44	Nhandan	Khác			[Ảnh] Chủ tịch Quốc hội Trần Thanh Mẫn tiếp Phó Chủ tịch Quốc hội Đức	https://nhandan.vn/anh-chu-tich-quoc-hoi-tran-thanh-man-tiep-pho-chu-tich-quoc-hoi-duc-post969441.html		
16/06/2026	13:24	Nhandan	Doanh Nghiệp			Tiếp tục phát huy hơn nữa vai trò cầu nối giữa Chính phủ với người dân và doanh nghiệp, cộng đồng quốc tế	https://nhandan.vn/tiep-tuc-phat-huy-hon-nua-vai-tro-cau-noi-giua-chinh-phu-voi-nguoi-dan-va-doanh-nghiep-cong-dong-quoc-te-post969404.html		
16/06/2026	13:13	Vietnambusinessinsider	Thế Giới			Trong 5 năm tới, điều gì sẽ quyết định Banker còn hay mất việc ?	https://vietnambusinessinsider.vn/trong-5-nam-toi-dieu-gi-se-quyet-dinh-banker-con-hay-mat-viec-a53916.html		
16/06/2026	13:11	Vietstock	Kinh Tế			Không thể tiếp tục 'luật chờ nghị định, nghị định chờ thông tư'	http://vietstock.vn/2026/06/khong-the-tiep-tuc-luat-cho-nghi-dinh-nghi-dinh-cho-thong-tu-761-1454724.htm		
16/06/2026	13:06	Baochinhphu	Khác			Không quy định xếp ngạch công chức theo trình độ chuyên môn	https://baochinhphu.vn/khong-quy-dinh-xep-ngach-cong-chuc-theo-trinh-do-chuyen-mon-102260612110034997.htm		
16/06/2026	13:02	Nhandan	Khác			Đưa nhiệm kỳ Quốc hội khóa XVI trở thành nhiệm kỳ của kiến tạo thể chế phát triển	https://nhandan.vn/dua-nhiem-ky-quoc-hoi-khoa-xvi-tro-thanh-nhiem-ky-cua-kien-tao-the-che-phat-trien-post969434.html		
16/06/2026	13:00	Vietstock	Tài Chính-Ngân Hàng			Cuộc đua mảng ngân hàng bán lẻ	http://vietstock.vn/2026/06/cuoc-dua-mang-ngan-hang-ban-le-757-1454588.htm		
16/06/2026	13:00	Vietnambusinessinsider	Khác			Prima Bay: Đi trước mọi tầm nhìn tại cửa ngõ Hạ Long	https://vietnambusinessinsider.vn/prima-bay-di-truoc-moi-tam-nhin-tai-cua-ngo-ha-long-a53917.html		
16/06/2026	13:00	FireAnt	Thế Giới			Nóng: Starbucks bất ngờ đóng cửa toàn bộ chi nhánh tại Hàn Quốc, nhâ viên được yêu cầu làm ngay một việc	https://fireant.vn/bai-viet/nong-starbucks-bat-ngo-dong-cua-toan-bo-chi-nhanh-tai-han-quoc-nha-vien-duoc-yeu-cau-lam-ngay-mot-viec/40473648		
16/06/2026	13:00	FireAnt	Khác			Đột kích nhà và văn phòng của “trùm” khai thác cát, tich thu hơn nửa kg vàng, 1,5 tỷ đồng tiền mặt	https://fireant.vn/bai-viet/dot-kich-nha-va-van-phong-cua-trum-khai-thac-cat-tich-thu-hon-nua-kg-vang-15-ty-dong-tien-mat/40473552		
16/06/2026	13:00	FireAnt	Thế Giới		TAKE	ĐNÁ sắp có hệ thống giao dịch vàng phi tập trung, JPMorgan, Deutsche Bank xác nhận sẽ tham gia	https://fireant.vn/bai-viet/dna-sap-co-he-thong-giao-dich-vang-phi-tap-trung-jpmorgan-deutsche-bank-xac-nhan-se-tham-gia/40473358		https://fireant.vn/bai-viet/dna-sap-co-he-thong-giao-dich-vang-phi-tap-trung-jpmorgan-deutsche-bank-xac-nhan-se-tham-gia/40473358
16/06/2026	13:00	FireAnt	Khác			Giá xăng dầu bán lẻ hôm nay 16.6	https://fireant.vn/bai-viet/gia-xang-dau-ban-le-hom-nay-166/40473183		
16/06/2026	13:00	FireAnt	Thế Giới			Biến động giá bạc 16.6: Đảo chiều sụt giảm	https://fireant.vn/bai-viet/bien-dong-gia-bac-166-dao-chieu-sut-giam/40473059		
16/06/2026	13:00	FireAnt	Khác			Xuất khẩu nông lâm thủy sản trước cơ hội bứt phá	https://fireant.vn/bai-viet/xuat-khau-nong-lam-thuy-san-truoc-co-hoi-but-pha/40472871		
16/06/2026	13:00	FireAnt	Thế Giới			Vàng nhẫn hút khách, nhiều người vẫn chờ mua vào	https://fireant.vn/bai-viet/vang-nhan-hut-khach-nhieu-nguoi-van-cho-mua-vao/40472723		
16/06/2026	13:00	FireAnt	Tài Chính-Ngân Hàng			Làm việc với Bộ Tài chính Mỹ, Thống đốc khẳng định mục tiêu xuyên suốt trong điều hành của NHNN năm 2026	https://fireant.vn/bai-viet/lam-viec-voi-bo-tai-chinh-my-thong-doc-khang-dinh-muc-tieu-xuyen-suot-trong-dieu-hanh-cua-nhnn-nam-2026/40472572		
16/06/2026	12:57	Vietstock	Chứng Khoán			Nhịp đập Thị trường 16/06: Cổ phiếu bán lẻ diễn biến tích cực	http://vietstock.vn/2026/06/nhip-dap-thi-truong-1606-co-phieu-ban-le-dien-bien-tich-cuc-1636-1454611.htm		
16/06/2026	12:52	Vietstock	Tài Chính-Ngân Hàng		TAKE	Bộ Tài chính đề xuất gia hạn 125,000 tỷ đồng tiền thuế và tiền thuê đất năm 2026	http://vietstock.vn/2026/06/bo-tai-chinh-de-xuat-gia-han-125000-ty-dong-tien-thue-va-tien-thue-dat-nam-2026-758-1454715.htm		http://vietstock.vn/2026/06/bo-tai-chinh-de-xuat-gia-han-125000-ty-dong-tien-thue-va-tien-thue-dat-nam-2026-758-1454715.htm
16/06/2026	12:52	TinNhanhCK	Chứng Khoán			VN-Index đứng trước cơ hội tạo đáy thứ hai	https://www.tinnhanhchungkhoan.vn/vn-index-dung-truoc-co-hoi-tao-day-thu-hai-post392329.html		
16/06/2026	12:45	Nhandan	Thế Giới			Việt Nam mở rộng hợp tác quốc phòng tại Triển lãm Eurosatory	https://nhandan.vn/viet-nam-mo-rong-hop-tac-quoc-phong-tai-trien-lam-eurosatory-post969411.html		
16/06/2026	12:45	TinNhanhCK	Chứng Khoán			Thông tin chất lượng cao “hút” dòng tiền	https://www.tinnhanhchungkhoan.vn/thong-tin-chat-luong-cao-hut-dong-tien-post392309.html		
16/06/2026	12:44	Nhandan	Thế Giới			Tôn vinh Anh hùng Lao động, Tiến sĩ Nguyễn Thị Phương Thảo là Nữ trí thức tiêu biểu Việt Nam giai đoạn 2011–2026	https://nhandan.vn/ton-vinh-anh-hung-lao-dong-tien-si-nguyen-thi-phuong-thao-la-nu-tri-thuc-tieu-bieu-viet-nam-giai-doan-20112026-post969426.html		
16/06/2026	12:43	Nhandan	Khác			Sáng 16/6: Sau 3 phiên tăng liên tiếp, giá bạc quay đầu giảm	https://nhandan.vn/sang-166-sau-3-phien-tang-lien-tiep-gia-bac-quay-dau-giam-post969421.html		
16/06/2026	12:43	Nhandan	Khác			Vietnam Airlines chính thức khai thác đường bay thẳng Hà Nội-Amsterdam	https://nhandan.vn/vietnam-airlines-chinh-thuc-khai-thac-duong-bay-thang-ha-noi-amsterdam-post969433.html		
16/06/2026	12:40	BaoDautu	Khác			Chiến lược dẫn đầu thị trường bằng giải pháp tối ưu hóa sức lao động và sức khỏe của Joyoung Việt Nam	https://baodautu.vn/chien-luoc-dan-dau-thi-truong-bang-giai-phap-toi-uu-hoa-suc-lao-dong-va-suc-khoe-cua-joyoung-viet-nam-d621421.html		
16/06/2026	12:38	TinNhanhCK	Tài Chính-Ngân Hàng			Ngân hàng tự tin với tham vọng lợi nhuận tỷ đô	https://www.tinnhanhchungkhoan.vn/ngan-hang-tu-tin-voi-tham-vong-loi-nhuan-ty-do-post391920.html		
16/06/2026	12:36	Baochinhphu	Khác		TAKE	Việt Nam mở rộng hợp tác công nghiệp quốc phòng tại Pháp	https://baochinhphu.vn/viet-nam-mo-rong-hop-tac-cong-nghiep-quoc-phong-tai-phap-102260616122330242.htm		https://baochinhphu.vn/viet-nam-mo-rong-hop-tac-cong-nghiep-quoc-phong-tai-phap-102260616122330242.htm
16/06/2026	12:34	Vietstock	Chứng Khoán	TAKE		Được hoán đổi nợ thành cổ phiếu, một chủ nợ trở thành công ty mẹ HU1	http://vietstock.vn/2026/06/duoc-hoan-doi-no-thanh-co-phieu-mot-chu-no-tro-thanh-cong-ty-me-hu1-764-1454487.htm	http://vietstock.vn/2026/06/duoc-hoan-doi-no-thanh-co-phieu-mot-chu-no-tro-thanh-cong-ty-me-hu1-764-1454487.htm	
